chiefcomplaint,total_cases_F,total_cases_M,deaths_F,deaths_M,survivors_F,survivors_M,mortality_rate_F,mortality_rate_M
 TONGUE SUTURE FELL OUT,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
 UPPER BACK PAIN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 VISUAL CHANGES,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
!ANEMIA,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
""" DOESN'T FEEL WELL """,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
""" FEEL VERY BAD """,0.0,73.0,0.0,0.0,0.0,73.0,0.0,0.0
""" GOT MUGGED """,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
""" I HAVE A CHILL""",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
""" I HAVE TELEKINESIS""",0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
""" I NEED MEDS""",0.0,9.0,0.0,1.0,0.0,8.0,0.0,11.1
""" PULLING SENSATION "" IN HEAD",15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
"""+D-DIMER""",30.0,0.0,2.0,0.0,28.0,0.0,6.7,0.0
"""ANXIETY ATTACK""",0.0,11.0,0.0,2.0,0.0,9.0,0.0,18.2
"""ANXIETY""",0.0,11.0,0.0,2.0,0.0,9.0,0.0,18.2
"""ASTHMA"" EYE EVAL",10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
"""AURA"" WITH NAUSEA",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"""BLOOD INFECTION""",0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0
"""BODY ACHES""",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"""BOIL""",10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
"""BONE PAIN""",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"""BREATHING FUNNY""",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"""BROKEN FOOT""",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"""BROKEN HEART""",0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0
"""BUGS IN MY LEGS""",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"""BUMP IN VEINS""",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"""BURNING FEET""",8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
"""BURNT FOOT""  ETOH",0.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0
"""C-DIFF""",15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
"""CELLULITIS""",0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
"""CHEST CONGESTION""",5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
"""CHILLS""",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"""CHRON'S FLARE""",0.0,86.0,0.0,0.0,0.0,86.0,0.0,0.0
"""CHRONIC PAIN AND THEY TOLD ME TO COME IN""",0.0,184.0,0.0,5.0,0.0,179.0,0.0,2.7
"""CONVULSIONS""",0.0,13.0,0.0,1.0,0.0,12.0,0.0,7.7
"""CYST""",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"""DEHYDRATED""",16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
"""DISORIENTATION""",0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
"""DYSTONIC REACTION""",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"""EPIDYTIMITIS""",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"""EQUILIBRIUM OFF""",6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
"""ETOH WITHDRAWAL""",9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
"""FEEL DEHYDRATED""",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"""FEEL VERY BAD""",0.0,73.0,0.0,0.0,0.0,73.0,0.0,0.0
"""FEELING FAINT""",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"""FEELING REALLY BAD""",0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0
"""FEELS BAD""",0.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0
"""FEELS SICK""",0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
"""FLUCTUATING KETONES""",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"""FOR NEUROLOGY""",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"""GASTROPARESIS""",9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
"""GUMS SWOLLEN""",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"""HEAD IS NUMB""",5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
"""HEAD RUSH""",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"""HEART RACING""",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"""HERE FOR UTI""",9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
"""HIGH BLOOD PRESSURE""",7.0,14.0,0.0,0.0,7.0,14.0,0.0,0.0
"""HIGH"" BS",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"""HYDRONEPHROSIS""",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"""HYPOTHERMIA""",0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
"""I AM COLD""",0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
"""I AM NERVOUS""",7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
"""I DO NOT FEEL GOOD""",0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
"""I DON'T FEEL GOOD""",0.0,108.0,0.0,0.0,0.0,108.0,0.0,0.0
"""I DRANK TOO MUCH""",0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
"""I FEEL DEHYDRATED""",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"""I FEEL EXHAUSTED""",19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
"""I FEEL SICK""",9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
"""I HAD TOO MUCH TO DRINK""",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"""I HAVE A STAPH INFECTION""",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"""I JUST DON'T FEEL RIGHT""",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"""I KEEP PUNCHING MYSELF""",0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
"""I WAS MAD""",0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
"""I'M COLD""",0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
"""I'M WITHDRAWING""",21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
"""INDIGESTION""",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"""IT'S FREEZING OUTSIDE """,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"""KIDNEY PAIN""",0.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0
"""L LEG WONT WORK""",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"""LIGHT HEADED""",0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
"""LOW BLOOD PRESSURE""",0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
"""LUMP"" UNDER ARM",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"""LUMP'UNDER CHIN",5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
"""LUMPS"" IN BACK",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"""MED STABILIZATION""",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"""MIGRAINES""",23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0
"""MY ASTHMA IS ACTING UP""",12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
"""MY DOCTOR TOLD ME TO COME IN""",0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
"""MY HEAD IS NOT RIGHT""",0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
"""MY SLEEPING PATTERN IS OFF"" - ANXIETY",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"""NEED PICC LINE""",0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0
"""NEEDS EVALUATION""",0.0,66.0,0.0,0.0,0.0,66.0,0.0,0.0
"""NERVOUS BREAKDOWN""",0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
"""NODDING OUT""",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"""NON VERBAL""",6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
"""NOT FEELING GOOD""",1.0,104.0,0.0,0.0,1.0,104.0,0.0,0.0
"""NOT FEELING RIGHT""",5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
"""NOT FEELING WELL""",21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
"""NOT SLEEPING""",0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0
"""ONGOING KIDNEYSTONE PAIN""",0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
"""ORTHOSTASIS""",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"""PANCREATITIS""",0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
"""PASSED OUT""",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"""PINS AND NEEDLES ALL OVER MY BODY""",5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
"""PSYCH PROBLEMS"" ",0.0,34.0,0.0,0.0,0.0,34.0,0.0,0.0
"""RESP INFECTION""",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"""RESTLESS LEGS""",0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0
"""RIB PAIN""",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"""SALIVARY GLAND INF""",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"""SCARED""",15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
"""SEEING FLOATERS""",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"""SEIZURE LIKE ACTIVITY""",87.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0
"""SEIZURE""",3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
"""SHAKES""",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"""SHAKING""",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"""SHAKY""",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"""SICKLE CELL PAIN""",19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
"""SLEEPY""",46.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0
"""SPITTING UP BLOOD""",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"""SWALLOWED STYROFOAM CUP""",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"""SWOLLEN TONSILS""",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"""SWOLLEN UVULA""",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"""THROAT CLOSING""",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
"""TONGUE NUMBNESS""",8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
"""TOO MUCH KLONIPIN""",0.0,34.0,0.0,0.0,0.0,34.0,0.0,0.0
"""TOOK WRONG PILLS""",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"""TREMORS""",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"""ULCERS ON TONGUE""",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"""UNABLE TO SLEEP""",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"""VERTIGO""",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"""WATER ON MY LUNGS""",11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
"""___ TRANSFUSION""",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"""___"" Intoxication",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
# RT.ANKLE,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
#2 RABIES,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#4 RABIES VACCINE,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
',7.0,0.0,1.0,0.0,6.0,0.0,14.299999999999999,0.0
'?BOUT OF DIVERTICULITIS.',0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
'BLACKING OUT',0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"'FIBRILLATION, Weakness",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
'HEART PROBLEM',2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
'I CAN'T FUNCTION',0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0
'I DON'T FEEL WELL.',3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
'I NEED A TUNE UP',0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
'I'M SICK',9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
'KIDNEY STONE',0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0
'NEED TO SEE A DOCTOR ABOUT STUFF.',1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
'NOT FEELING HER LEGS',1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
'NOT FEELING WELL',0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
'PASSED OUT',11.0,0.0,2.0,0.0,9.0,0.0,18.2,0.0
'RAN OUT OF INSULIN',0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
'STUFF CRAWLING IN MY SKIN',0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
'SUGARS ARE HIGH',3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
'THINGS ARE OUT OF HAND',0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0
'WHOLE BODY PAIN',3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"(B) LE PAIN, CALF PAIN",5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
+  D DIMER,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
+ AFB,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
+ APPE,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
+ APPENDICITIS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
+ APPY,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
+ BC,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"+ BLD CX, BODY ACHES",12.0,0.0,1.0,0.0,11.0,0.0,8.3,0.0
+ BLOOD CLOT TO CALF TRANSFER,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
+ BLOOD CULTURE,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
+ BLOOD CULTURE TODAY,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
+ BLOOD CULTURES,24.0,66.0,1.0,3.0,23.0,63.0,4.2,4.5
+ CHILLS,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
+ D DIMER,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
+ D-DIMER,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
+ DDIMER,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
+ DDIMER/DYSPNEA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
+ DVT,4.0,11.0,0.0,2.0,4.0,9.0,0.0,18.2
+ DVT LLE,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"+ DVT, Chest pain",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
+ ECTOPIC PREG/ABD PAIN,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
+ ETOH,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"+ ETOH, ",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"+ FLU, Abd pain",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
+ GALLSTONES,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
+ JOINT FLUID,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
+ KIDNEY STONES,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
+ L.P.,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
+ LP,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
+ MONO,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
+ MONO LUQ PAIN,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
+ MRSA,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
+ PE,3.0,11.0,0.0,2.0,3.0,9.0,0.0,18.2
+ PELVIC PAIN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
+ PNA,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
+ PPD,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
+ PREG ABD PAIN/VB,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
+ PREG/ VAG BLEEDING,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"+ PREG/VB, R/O ECT",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
+ PREGNANCY- RLQ PAIN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
+ SI ,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
+ SI/REQ  DUAL DETOX,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
+ STREP/FEVER,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
+ STRESS TEST,0.0,8.0,0.0,2.0,0.0,6.0,0.0,25.0
"+ STRESS, Chest pain",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
+ TROP,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
+ TROPONIN,1.0,1.0,0.0,1.0,1.0,0.0,0.0,100.0
+ UTI,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
+APPY,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
+BC,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"+BC,CHEMO PT",12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
+BLD CX,0.0,27.0,0.0,0.0,0.0,27.0,0.0,0.0
+BLD CX'S,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
+BLOOD CULTURE,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"+BLOOD CULTURE, LLE CELLULITIS",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
+BLOOD CULTURES,52.0,17.0,1.0,0.0,51.0,17.0,1.9,0.0
+BLOOD CX,56.0,43.0,0.0,1.0,56.0,42.0,0.0,2.3
+BLOOD CX/FEVER,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
+C-DIFF ON CX,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
+CHILLS,0.0,31.0,0.0,1.0,0.0,30.0,0.0,3.2
+CULTURES ,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
+D-DIMER,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
"+D-DIMER, R Hand pain",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"+DDIMER, Hematuria",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
+DVT,13.0,96.0,0.0,0.0,13.0,96.0,0.0,0.0
+DVT L LEG,0.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0
"+DVT, R Leg pain",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
+DVTS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
+ETOH,0.0,492.0,0.0,11.0,0.0,481.0,0.0,2.1999999999999997
+ETOH REQUESTING DETOX,29.0,0.0,6.0,0.0,23.0,0.0,20.7,0.0
"+ETOH, WITHDRAWLS",7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
+ETOH/HEAD INJURY,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
+ETOH/MALNUTRITION,29.0,0.0,6.0,0.0,23.0,0.0,20.7,0.0
+FLU B,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
+GALLSTONES US,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
+GI BLEED,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"+HCG, VAG BLEED",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
+HEAD STRIKE,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
+HI/CHEST PAIN,0.0,38.0,0.0,0.0,0.0,38.0,0.0,0.0
+JAW FX,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
+LLE WEAKNESS,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"+LP, Transfer",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
+LYME TITER,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
+N/+V/+D,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
+N/+V/COFFEE GROUND EMESIS,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
+NAUSEA/POOR APPETITE,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
+PD CULTURES,0.0,47.0,0.0,0.0,0.0,47.0,0.0,0.0
+PE,2.0,4.0,1.0,1.0,1.0,3.0,50.0,25.0
+PNA,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
+PREG VB/ABD PAIN,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"+PREGNANT, VAG BLEEDING",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
+RENAL INFARCT,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
+RIGHT DVT,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
+SAH,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
"+SAH, +IPH",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
+SAH/INCREASING EDEMA,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
+SBO,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
+SDH,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0
+SI,178.0,179.0,0.0,3.0,178.0,176.0,0.0,1.7000000000000002
+SI ,0.0,176.0,0.0,0.0,0.0,176.0,0.0,0.0
"+SI, ETOH,",98.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0
"+SI, WRIST LACS",5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
+SI/HI,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0
+STRESS,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
+STRESS ECHO-TRANSFER,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
+SUBDURAL BLEED,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
+TB TEST,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
+TROP,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
"+TROP, Abd pain",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
+TROP- TRANSFER,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
+UA,0.0,4.0,0.0,1.0,0.0,3.0,0.0,25.0
+UTI,59.0,5.0,0.0,0.0,59.0,5.0,0.0,0.0
+VE APPY,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
+VE BLC,2.0,18.0,0.0,0.0,2.0,18.0,0.0,0.0
"+VE BLC, Fever",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
+VE USS,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
+etoh ? psych eval,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
