chiefcomplaint,count
LEG PAIN,1187
"Back pain, Chest pain",1186
R Weakness,1175
VOMITING BLOOD,1171
"Fever, Transfer",1170
"L Foot pain, Wound eval",1161
Clogged foley,1157
RCI,1156
"Dyspnea, ILI",1156
"L Hip pain, s/p Fall",1148
Positive blood cultures,1148
WOUND CHECK,1145
FOUND DOWN,1144
"BRBPR, ETOH",1142
Suprapubic pain,1142
Tremor,1139
L Hand pain,1136
"Chest pain, Weakness",1135
RLQ PAIN,1132
Alcohol withdrawal,1130
"s/p Fall, Laceration",1129
"Chest pain, N/V",1129
L Ankle injury,1128
UPPER EXTREMITY PAIN,1123
BODY PAIN,1121
LEFT FLANK PAIN,1119
"ETOH, Found down",1116
"ETOH, Chest pain",1101
"Altered mental status, ETOH",1098
"Detox, ETOH",1098
GENERAL WEAKNESS,1096
FOOT PAIN,1094
ASSAULT,1090
"s/p Fall, R Hip pain",1089
"Abd pain, Headache",1089
Finger pain,1087
Bradycardia,1087
PSYCH,1077
"Dyspnea, Palpitations",1073
MS CHANGES,1069
"Lower back pain, s/p Fall",1067
"ETOH, Lower back pain",1065
Paranoid delusion,1060
"R Hip pain, s/p Fall",1043
"Overdose, SI",1040
"Dyspnea, Abd pain",1039
R FOOT PAIN,1037
R Inguinal pain,1029
Suture removal,1026
Vaginal pain,1025
RIGHT FLANK PAIN,1022
"Dizziness, Dyspnea",1015
"Hallucinations, SI",1013
LOWER EXTREMITY INJURY,1012
"ETOH, Assault",1011
"Hyperglycemia, N/V",1008
Throat foreign body sensation,1007
UTI COMPLAINTS,1005
NAUSEA/VOMITING,1002
L Hand injury,1001
RIGHT KNEE PAIN,1000
REQUESTS DETOX,1000
RIGHT LEG PAIN,988
"ETOH, Abd pain",984
"ETOH, Headache",975
"BRBPR, Abd pain",975
"Diarrhea, Weakness",973
"N/V, Weakness",973
GASTROPARESIS,973
R KNEE PAIN,968
L Arm swelling,964
"Abd pain, Wound eval",961
ALTERED MS,958
"Dyspnea, Productive cough",958
C/P,951
"Chest pain, Back pain",951
"Dysuria, Fever",949
OD,945
"Cough, Chest pain",943
"Fever, N/V",942
"s/p Fall, Back pain",938
L Elbow pain,936
"HI, SI",933
"Laceration, s/p Fall",933
"SI, HI",932
Psychosis,928
Difficulty swallowing,928
ABNL LABS,927
"Chest pain, Nausea",927
"Abd pain, Abnormal labs",920
"SBO, Transfer",919
Knee pain,919
HYPERKALEMIA,916
"Fever, Headache",912
"Altered mental status, Transfer",912
"Anxiety, Chest pain",908
"L Shoulder pain, s/p Fall",906
CELLULITIS,906
LEFT LEG PAIN,905
ALTERED LEVEL OF CONSCIOUSNESS,905
R Elbow pain,897
"Cough, Weakness",897
"Abd pain, Pregnant",895
"Asthma exacerbation, Dyspnea",892
Ped struck,891
"Headache, s/p Fall",885
Leg weakness,882
"Back pain, Dyspnea",879
Abnormal CT,876
"Chest pain, Hypertension",875
"Chest pain, ILI",866
"Fever, Abd pain",863
Testicular pain,862
R Rib pain,854
Hip pain,853
RUQ PAIN,849
"Altered mental status, s/p Fall",847
TACHYCARDIA,845
"MVC, Neck pain",844
"Dyspnea, Wheezing",843
R Foot injury,841
L KNEE PAIN,840
Ear pain,840
R SHOULDER PAIN,840
"ETOH, Seizure",840
LEFT SHOULDER PAIN,834
"Pregnant, Vaginal bleeding",833
"Chest pain, SI",831
"Vomiting, Abd pain",826
BLOOD IN STOOL/MELENA,826
RLQ ABDOMINAL PAIN,825
"GI bleed, Transfer",825
L Chest pain,821
"Abd pain, Dizziness",820
"Epigastric pain, Nausea",819
LEFT ARM PAIN,819
RECTAL PAIN,817
RUQ ABDOMINAL PAIN,814
"Headache, Transfer",814
"Abnormal labs, Transfer",808
Insect bite,805
"Chest pain, Lightheaded",803
PALPITATIONS/IRREGULAR HEART BEAT,800
Dog bite,800
"L Knee pain, s/p Fall",797
"Head lac, s/p Fall",793
APPARENTLY INTOXICATED,791
PED STRUCK,790
PRESYNCOPE,788
"Cough, Sore throat",787
Coffee ground emesis,782
"L Leg pain, L Leg swelling",778
RIGHT FOOT PAIN,777
UPPER EXTREMITY INJURY,776
Bleeding fistula,775
N/V ABD PAIN,772
"Chest pain, Syncope",770
"R Shoulder pain, s/p Fall",767
"Chest pain, Epigastric pain",766
"s/p Fall, L Hip pain",763
DEHYDRATION,762
"Abd pain, Vaginal bleeding",761
S/P SZ,760
ABD PAIN ,759
"SI, Overdose",759
Urinary frequency,759
"ICH, Transfer",757
DENTAL PAIN,754
L FOOT PAIN,754
Numbness,752
"Altered mental status, Hypoglycemia",751
"ETOH, N/V",745
"Abd pain, Hyperglycemia, N/V",734
"Abd pain, Hematuria",731
"Abnormal labs, Weakness",728
"L Leg pain, s/p Fall",723
Rib pain,723
"ETOH, Med refill",717
ETOH ABUSE,714
"Toe pain, Wound eval",714
L Foot swelling,713
"Cough, ETOH",711
"Chest pain, Hyperglycemia",710
L Rib pain,709
"Dizziness, Lightheaded",707
"SI, Substance use",705
Foley insertion,704
HIP PAIN,703
"Abnormal labs, Hyperkalemia",703
"Back pain, Transfer",702
"Altered mental status, Fever",697
"Chest pain, Tachycardia",697
KNEE PAIN,696
R HIP PAIN,696
L SHOULDER PAIN,694
HTN,694
Abnormal EKG,694
"Weakness, Dizziness",694
INTOXICATED,692
"ETOH, Leg pain",691
Abnormal sodium level,690
ST,690
LLQ PAIN,689
"SDH, Transfer",689
APPARENTLY DRUNK,688
"Palpitations, Chest pain",687
"ETOH, L Arm pain",684
Mania,682
"Dizziness, Palpitations",680
RESP DISTRESS,678
"Dyspnea, Asthma exacerbation",677
"Chest pain, Fever",674
RIGHT SHOULDER PAIN,673
"Altered mental status, Lethargy",673
R/O STROKE,673
"Hypoglycemia, ETOH",672
R Arm swelling,670
"Abdominal distention, Dyspnea",669
GI bleed,668
"Dysuria, Flank pain",667
"Headache, Weakness",666
Malaise,665
Facial pain,664
ANEMIA,662
Abnormal MRI,661
Left sided abdominal pain,660
"Dizziness, Hypertension",660
"Abnormal labs, Anemia",658
L LEG PAIN,658
LEFT KNEE PAIN,655
"ETOH, Vomiting",655
"Diarrhea, Abd pain",655
LEFT HIP PAIN,655
L Inguinal pain,651
Eye pain,648
CHEST TIGHTNESS,644
Cat bite,642
SUTURE REMOVAL,640
"BRBPR, Dizziness",636
"Headache, Vomiting",636
NEAR SYNCOPE,633
"Dizziness, Hypotension",632
"Abd pain, Coffee ground emesis",628
"Fever, Sore throat",624
"Anxiety, ETOH",624
"BRBPR, Chest pain",621
"SI, AH",620
"CVA, Transfer",618
"ILI, Cough",616
RIGHT ARM PAIN,614
CVA,613
"Abd pain, Lower back pain",613
"Dyspnea, N/V",612
Difficulty breathing,610
FATIGUE,607
"SI, Abd pain",605
"Anxiety, Depression",605
"L Rib pain, s/p Fall",605
"Dysuria, Lower back pain",605
R ARM PAIN,605
"Abd pain, R Flank pain",605
"R Arm pain, s/p Fall",603
"Anxiety, SI",602
"Diarrhea, Nausea",602
"Lower back pain, R Leg pain",601
"ETOH, EtOH detox",599
MED REFILL,598
Psychiatric hold,594
"Leg pain, Leg swelling",594
"s/p Fall, Dizziness",594
VAGINAL BLEEDING,593
"Back pain, Neck pain",593
"R Knee pain, s/p Fall",592
"ILI, Sore throat",592
DIFFICULTY BREATHING,590
"Sore throat, Cough",589
HEMOPTYSIS,586
L Thumb laceration,584
MEDICAL DEVICE PROBLEM,581
ABSCESS,579
CODE STROKE,579
"Chest pain, L Shoulder pain",578
FTT,578
"ETOH, Weakness",577
"N/V, Dizziness",574
Sinus pain,571
"ETOH, Depression",570
"Abd pain, L Flank pain",569
R Foot swelling,567
"Fever, Tachycardia",567
FACIAL SWELLING,565
Vision changes,563
STEMI,563
"n/v/d, Weakness",561
"s/p Fall, Syncope",559
L Testicular pain,559
Jaw pain,558
"Dizziness, Chest pain",558
"Abnormal CT, Transfer",557
CP/SOB,556
"s/p Fall, Unable to ambulate",555
GIB,550
HEMATEMESIS,550
"Wound eval, Transfer",548
"Dysuria, Hematuria",547
R Hand swelling,545
Cardiac arrest,545
WANTS DETOX,544
"Dizziness, Visual changes",543
SBO,539
"BRBPR, Weakness",539
SI/HI,538
"ABD PAIN, N/V",537
"Abd pain, gtube eval",533
HEAD PAIN,530
"ETOH, Slurred speech",529
"Epigastric pain, Vomiting",528
Dehydration,527
LEFT FOOT PAIN,526
L Foot injury,526
"Hyperglycemia, Weakness",526
"Back pain, L Leg pain",525
"Dyspnea, Abdominal distention",525
DVT,524
"R Rib pain, s/p Fall",523
WEAK,521
"BRBPR, Hematemesis",519
UNWITNESSED FALL,519
R LEG PAIN,518
"Dyspnea, Tachycardia",516
ABD PAIN/N/V,516
LOWER ABD PAIN,516
"Dysuria, Lower abdominal pain",514
"Confusion, Weakness",511
"Abd pain, Anxiety",511
Vertigo,510
SLURRED SPEECH,508
"ETOH, Neck pain",507
L Hand laceration,507
"R Foot pain, R Foot swelling",507
"ETOH, Pain",507
L Arm numbness,506
GI BLEED,506
"s/p Fall, Headache",506
"ETOH, Cough",505
ETOH WITHDRAWAL,505
HEAD BLEED,504
CHILLS,504
"ETOH, Dyspnea",501
ASTHMA,501
LACERATION/PUNCTURE,500
ETOH/SI,499
SOB/COUGH,499
L Facial numbness,498
"R Leg pain, R Leg swelling",498
"Abd pain, Jaundice",497
"Neck pain, s/p Fall",496
"Dyspnea, Pedal edema",496
"Anemia, Weakness",496
"Depression, ETOH, SI",495
ANOREXIA,495
Pleuritic chest pain,494
"Altered mental status, Weakness",494
Finger swelling,494
"ILI, Fever",494
L Toe pain,493
+ETOH,492
HYPOXIA,492
"ETOH, Head injury",490
"ETOH, R Shoulder pain",489
"Abnormal labs, Dyspnea",489
"Diarrhea, Fever",489
OVERDOSE,489
HYPOGLYCEMI,488
CHEST PRESSURE,487
"Abd pain, Abnormal CT",486
"Fever, n/v/d",486
"Abd pain, Epigastric pain",484
"Weakness, s/p Fall",482
"Dyspnea, Headache",482
VAG BLEEDING,481
"SI, Hallucinations",480
"Leg swelling, Dyspnea",479
"Headache, ILI",478
"Back pain, Weakness",477
"Chest pain, Cough, Dyspnea",476
Atrial fibrillation,474
"Nausea, Weakness",474
"Fever, Lethargy",474
"Weakness, Transfer",474
SUBSTANCE ABUSE,473
"Hematuria, Urinary retention",472
L Thumb injury,471
"Abscess, Transfer",471
ICH,470
"Palpitations, Dyspnea",468
VERTIGO,468
Facial numbness,468
RIGHT ANKLE PAIN,467
"s/p Fall, Lower back pain",465
"Allergic reaction, Rash",465
"R Flank pain, Dysuria",465
R Arm numbness,464
LLE PAIN,464
"Palpitations, Tachycardia",463
LLQ ABDOMINAL PAIN,463
"SAH, Transfer",463
Inguinal pain,462
"Pneumonia, Transfer",462
"Presyncope, Weakness",462
ABDOMINAL DISTENTION,462
CARDIAC ARREST,461
"Back pain, MVC",460
"Back pain, R Leg pain",459
SDH,458
R Chest pain,457
"ETOH, L Foot pain",456
"L Foot pain, L Foot swelling",456
ABCESS,456
NEURO EVAL,456
"Seizure, ETOH",455
B Flank pain,453
"Body aches, Fever",453
RIGHT SIDED ABDOMINAL PAIN,453
GROIN PAIN,451
"ETOH, R Foot pain",451
L ARM PAIN,450
SZ,450
R Facial numbness,450
STROKE,449
"Back pain, ETOH, s/p Fall",448
EKG CHANGES,446
"Hypotension, Weakness",446
Penile pain,445
"Assault, L Eye pain",444
L Hand swelling,443
Jaundice,443
R Thumb pain,443
S/P FALL ,443
"s/p Fall, L Shoulder pain",443
MULT C/O'S,442
S/P MECHANICAL FALL,442
Hemodialysis,441
R Thumb injury,440
B Knee pain,440
ARM PAIN,439
"Fever, Vomiting",438
"Cough, Fever, ILI",437
"Weakness, Nausea",435
"SI, Suicide attempt",434
UNABLE TO WALK,433
"Chest pain, s/p Fall",433
"Vaginal bleeding, Pregnant",433
R/O CVA,431
"ETOH, Hyperglycemia",430
"s/p Fall, L Knee pain",429
L Shoulder injury,429
"N/V, Syncope",428
"Headache, Seizure",427
ETOH INTOXICATION,426
Buttock pain,426
Body aches,425
"Abd pain, SBO",425
Burn,425
R Neck pain,424
"Asthma exacerbation, Cough",424
"Fever, Hypotension",424
PANCREATITIS,423
Cellulitis,420
"Altered mental status, Confusion",419
PNA,419
"Weakness, Dyspnea",419
"Cough, Dyspnea on exertion",418
TREMORS,417
"Altered mental status, Hypoxia",416
"BRBPR, Rectal pain",414
"Abdominal distention, R Foot pain",414
"B Leg swelling, Dyspnea",414
"ETOH, Back pain",412
Clotted graft,412
"Chest pain, Anxiety",411
MULTIPLE C/O,411
"Chest pain, Presyncope",410
TOE PAIN,410
"Chest pain, Lower back pain",410
"Cough, Headache",409
R Knee injury,409
"Anxiety, Palpitations",408
DOE,408
R Shoulder injury,407
BRADYCARDIA,407
"Wound eval, Fever",406
DETOX,406
Mouth pain,405
"s/p Fall, L Elbow pain",404
R GROIN PAIN,404
BILATERAL LEG PAIN,404
JAW PAIN,403
"Dyspnea, Back pain",401
"Dizziness, Presyncope",401
L HIP PAIN,400
L Numbness,398
SHOULDER PAIN,398
Urinary incontinence,398
"Chest pain, Vomiting",397
"Transfer, Abd pain",397
Lip swelling,396
ABD PAIN N/V,396
"MVC, Transfer",395
"Fever, Nausea",394
"ETOH, L Rib pain",393
"Abd pain, Syncope",392
"Unsteady gait, ETOH",391
Needlestick,390
Insomnia,390
NOT FEELING WELL,388
"N,V,D",388
Hives,387
LEG SWELLING,387
"Nausea, Vomiting",386
SI/ETOH,385
"ETOH, Hypoxia",385
SAH,385
ANXIETY/SITUATIONAL CRISIS,384
"Hematuria, R Flank pain",384
AGITATION,383
"RUQ abdominal pain, N/V",382
L Breast pain,381
Facial droop,381
"Dysuria, R Flank pain",379
LEFT SIDED CHEST PAIN,379
"Chest pain, Abnormal EKG",378
R SIDED ABD PAIN,378
R Facial pain,377
"Clogged foley, Urinary retention",377
Rabies Vaccine,377
"Abd pain, Tachycardia",377
LOW ABD PAIN,376
MED CLEARANCE,376
SI/DEPRESSION,376
"Fever, Dyspnea",375
"Chest pain, Neck pain",374
"Hypotension, Transfer",373
"L Leg pain, Wound eval",373
Bicycle accident,372
"NSTEMI, Transfer",372
L Wrist injury,372
Left sided chest pain,370
"Dyspnea, Hypotension",367
"Dizziness, Unsteady gait",367
BIZARRE BEHAVIOR,366
Vaginal discharge,366
"Lethargy, Weakness",365
"Psych eval, SI",365
HALLUCINATIONS,364
"Abdominal distention, Abd pain",363
"Dyspnea, B Leg swelling",362
"BRBPR, Diarrhea",361
Neck swelling,361
"N/V, Fever",360
"Epigastric pain, n/v/d",360
R Testicular pain,359
RE-EVAL,359
"SI, Psych",358
+SI,357
ETOH DETOX,356
"Back pain, Urinary incontinence",356
"Syncope, Chest pain",356
"R Flank pain, RLQ abdominal pain",356
FACIAL PAIN,355
Chills,355
"Depression, Psych eval",354
TRACH EVAL,354
LUQ abdominal pain,354
Right sided chest pain,354
"R Leg pain, s/p Fall",354
"N/V, Chest pain",353
"BRBPR, Transfer",353
"Chest pain, Dysuria",352
CHEST PAIN ,352
SHORT OF BREATH,351
"Anxiety, Med refill",351
"Abd pain, SBO, Transfer",351
L ANKLE PAIN,351
RUNNY NOSE,351
"Lower back pain, MVC",348
"Dysuria, Urinary frequency",348
"Chest pain, L Leg pain",347
LEG WEAKNESS,347
"Dyspnea on exertion, Chest pain",347
"BRBPR, Lower abdominal pain",346
N,346
PALPATATIONS,346
Aphasia,345
"Fatigue, Fever",345
CATHETER EVAL,345
LETHARGIC,345
PALPS,344
PICC LINE EVAL,344
CONGESTION,344
EXTREMITY WEAKNESS/SYMPTOMS OF CVA,344
Arm swelling,344
"Assault, Head injury",343
"Chest pain, Leg swelling",343
BILATERAL FOOT PAIN,343
SEIZURES,342
"ETOH, REQ DETOX",342
GENERALIZED WEAKNESS,342
"Back pain, Leg pain",341
"ILI, N/V",341
ABD PAIN/VOMITING,341
"Dysuria, Weakness",341
"N/V, RLQ abdominal pain",341
"Abd pain, Flank pain",340
"SI, Chest pain",340
SVT,340
"Chest pain, R Arm pain",339
RLE PAIN,339
PRODUCTIVE COUGH,339
"Dizziness, Vomiting",338
"Dyspnea, Respiratory distress",338
L Eye swelling,337
"s/p Fall, Head lac",337
"ETOH, L Knee pain",337
"Diarrhea, Dizziness",337
"Abd pain, Pelvic pain",336
"ETOH, Substance use, Unable to ambulate",336
"Sore throat, Fever",336
POLYSUBSTANCE ABUSE,336
"Altered mental status, Hypotension",335
"ETOH, Hypotension",335
L Knee injury,335
"SI, Anxiety",333
"Hyperglycemia, n/v/d",332
"ETOH, Hematemesis",331
DYSPNEA ON EXERTION,331
"Chest pain, Productive cough",330
CHEST DISCOMFORT,330
"Chest pain, Hematemesis",329
R ANKLE PAIN,328
RIGHT HAND PAIN,328
"s/p Fall, R Rib pain",328
"s/p Fall, R Shoulder pain",328
"ETOH, Laceration",328
"SI, HI, ETOH",327
"Dizziness, n/v/d",327
"Headache, Chest pain",326
"ETOH, Dizziness",326
PASSED OUT,326
LE SWELLING,326
COMBATIVE,326
LOW HCT,325
"ILI, Weakness",325
DENTAL/GUM PROBLEMS,324
"Hip pain, ETOH",324
"Hypoglycemia, Seizure",324
"Dental pain, Facial swelling",324
R Leg cellulitis,324
ALLERGIC RXN,323
"Dyspnea, Sore throat",323
"N/V, Headache",323
BILAT LEG PAIN,322
EYE PAIN,322
Pregnant,322
"ETOH, Periumbilical pain",321
"ETOH, Productive cough",321
"Unable to ambulate, Unsteady gait",321
"Cough, ETOH, Unable to ambulate",321
"ETOH, Unsteady gait, Unable to ambulate",321
"Unable to ambulate, Hip pain",321
"ETOH, L Hip pain, s/p Fall",321
"Hip pain, Hypoglycemia",321
"ETOH, L Hip pain, Unsteady gait",321
"R Hand pain, R Hand swelling",320
DEPRESSED,320
LEFT ANKLE PAIN,318
"Dizziness, Syncope",318
"L Leg pain, Lower back pain",318
ETOH ,317
JOINT PAIN,317
LEG CRAMPS,316
"Abd pain, Chest pain, N/V",316
"Dental pain, ETOH",316
"Fatigue, Weakness",316
"N/V, RUQ abdominal pain",315
"ETOH, R Leg pain",314
DEPRESSION/ANXIETY,313
"Abd pain, Leg pain",312
"Vaginal bleeding, Abd pain",312
"Headache, Fever",312
DIFFICULTY SWALLOWING,312
"Altered mental status, Substance use",312
FINGER LAC,311
INABILITY TO AMBULATE,311
Hyponatremia,311
"Altered mental status, Seizure",309
"Depression, Substance use",309
BLURRED VISION,308
Wheezing,307
Neuro deficit,307
"Dyspnea, Fatigue",307
"Hypertension, Headache",307
"Headache, n/v/d",307
MELENA,307
"R Ankle pain, s/p Fall",306
"Syncope, Transfer",306
R EYE PAIN,305
Upper back pain,305
"N/V, Pregnant",305
"Chest pain, Dyspnea, Leg swelling",304
"Palpitations, Weakness",304
FEELS UNWELL,304
PEDAL EDEMA,303
"Headache, Palpitations",303
"Neck pain, Back pain",302
"ETOH, Nausea",302
"Back pain, SI",302
"ILI, SI",302
"Chest pain, n/v/d",302
"RUQ abdominal pain, Transfer",301
HYPOTENSIVE,301
"Dyspnea, Hyperglycemia",301
"Back pain, Dysuria",301
"Headache, Sore throat",300
R Wrist injury,300
"Cough, Nausea",300
FEVER/CHILLS,300
Genitourinary pain,299
"Anemia, Dyspnea",299
"Abnormal labs, Jaundice",299
L Finger injury,298
"Chest pain, Fatigue",297
CHEST PAIN/ABD PAIN,297
"Weakness, Hypotension",297
HYPONATREMIA,297
HYPOKALEMIA,297
"Abnormal labs, Fever",296
CAT BITE,296
"Abd pain, ETOH, Substance use",296
ABD  PAIN,296
"Constipation, Abd pain",296
GYN EVAL,296
"Anxiety, Dyspnea",295
"Abd pain, Diarrhea, Nausea",295
"Abd pain, R Foot pain",294
"Hyperglycemia, Nausea",294
"Abd pain, Hypotension",294
R Hand numbness,293
"ETOH, Altered mental status",293
RIGHT GROIN PAIN,293
"Cough, Dizziness",293
"Knee pain, s/p Fall",293
"ETOH, Foot pain",292
"Substance use, Unable to ambulate",292
"Dyspnea, Dizziness",292
PORT EVAL,291
SICKLE CELL CRISIS,291
"ETOH, Palpitations",291
VISION CHANGES,291
"LUQ abd pain, N/V",291
"Syncope, s/p Fall",290
"ETOH, Agitation",290
Pedal edema,289
"Lower abdominal pain, Vaginal bleeding",289
